stage,label,nbytes,mode,event_id,plan_id,status,completion_kind,actual_engine,actual_path,submitted_at_ns,started_at_ns,completed_at_ns,actual_latency_us,actual_bandwidth_gib_s,submit_wall_us,export_wait_us
prefill,layer0,660644864,auto,30000,20001,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185707590357605,1782185707590357605,1782185707604061370,13703.765,44.898,144806.770,98522.658
prefill,layer1,660644864,auto,30001,20003,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185707790587238,1782185707790587238,1782185707803332527,12745.289,48.275,200156.563,87544.418
prefill,layer2,660644864,auto,30002,20005,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185707990833841,1782185707990833841,1782185708003406440,12572.599,48.938,200223.073,87276.586
prefill,layer3,660644864,auto,30003,20007,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185708191075344,1782185708191075344,1782185708203519932,12444.588,49.441,200234.853,87674.849
prefill,layer4,660644864,auto,30004,20009,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185708391329387,1782185708391329387,1782185708403654954,12325.567,49.918,200246.393,88464.102
prefill,layer5,660644864,auto,30005,20011,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185708591566510,1782185708591566510,1782185708603769267,12202.757,50.421,200232.743,87913.370
prefill,layer6,660644864,auto,30006,20013,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185708791788743,1782185708791788743,1782185708803905779,12117.036,50.778,200205.723,88725.814
prefill,layer7,660644864,auto,30007,20015,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185708992043866,1782185708992043866,1782185709004366344,12322.478,49.931,200263.723,89242.397
prefill,layer8,660644864,auto,30008,20017,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185709192294049,1782185709192294049,1782185709204449136,12155.087,50.619,200222.073,88914.355
prefill,layer9,660644864,auto,30009,20019,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185709392537662,1782185709392537662,1782185709404607448,12069.786,50.976,200232.353,87575.648
prefill,layer10,660644864,auto,30010,20021,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185709592755465,1782185709592755465,1782185709604855731,12100.266,50.848,200219.233,89197.957
prefill,layer11,660644864,auto,30011,20023,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185709793012399,1782185709793012399,1782185709805053854,12041.455,51.096,200258.553,88867.255
prefill,layer12,660644864,auto,30012,20025,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185709993253742,1782185709993253742,1782185710005346818,12093.076,50.878,200236.624,88757.825
prefill,layer13,660644864,auto,30013,20027,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185710193537355,1782185710193537355,1782185710205589971,12052.616,51.049,200278.263,88684.194
prefill,layer14,660644864,auto,30014,20029,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185710393754228,1782185710393754228,1782185710405843684,12089.456,50.893,200224.913,89244.487
prefill,layer15,660644864,auto,30015,20031,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185710593996151,1782185710593996151,1782185710606067467,12071.316,50.970,200205.713,88651.554
prefill,layer16,660644864,auto,30016,20033,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185710794246914,1782185710794246914,1782185710806430321,12183.407,50.501,200248.613,87718.959
