stage,label,nbytes,mode,event_id,plan_id,status,completion_kind,actual_engine,actual_path,submitted_at_ns,started_at_ns,completed_at_ns,actual_latency_us,actual_bandwidth_gib_s,submit_wall_us,export_wait_us
prefill,layer0,660644864,auto,30000,20001,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382960336598,1782207382960336598,1782207383068024443,107687.845,5.713,2138.653,94787.086
prefill,layer1,660644864,auto,30002,20003,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382961201223,1782207382961201223,1782207383076157083,114955.860,5.352,2988.679,967.276
prefill,layer2,660644864,auto,30001,20005,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382961080442,1782207382961080442,1782207383073326965,112246.523,5.481,2604.096,644.894
prefill,layer3,660644864,auto,30003,20007,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382962069318,1782207382962069318,1782207383079595263,117525.945,5.235,2995.969,1310.378
prefill,layer4,660644864,auto,30004,20009,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382962196189,1782207382962196189,1782207383081394794,119198.605,5.162,2960.078,973.556
prefill,layer5,660644864,auto,30006,20011,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382962647772,1782207382962647772,1782207383290192395,327544.623,1.878,3328.070,959.596
prefill,layer6,660644864,auto,30005,20013,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382962524901,1782207382962524901,1782207383219348004,256823.103,2.396,2921.128,968.186
prefill,layer7,660644864,auto,30007,20015,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382962967324,1782207382962967324,1782207383230341011,267373.687,2.301,3273.990,1348.058
prefill,layer8,660644864,auto,30008,20017,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382963170915,1782207382963170915,1782207383250247022,287076.107,2.143,3427.801,1446.469
prefill,layer9,660644864,auto,30009,20019,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382963618408,1782207382963618408,1782207383088636098,125017.690,4.921,3465.211,1359.619
prefill,layer10,660644864,auto,30010,20021,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382963948420,1782207382963948420,1782207383089421133,125472.713,4.904,3162.279,1151.337
prefill,layer11,660644864,auto,30011,20023,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382964336062,1782207382964336062,1782207383283377683,319041.621,1.929,3823.673,633.364
prefill,layer12,660644864,auto,30012,20025,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382964494663,1782207382964494663,1782207383193843839,229349.176,2.683,3425.021,1334.788
prefill,layer13,660644864,auto,30014,20027,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382964811195,1782207382964811195,1782207383292341148,327529.953,1.879,4637.118,1321.198
prefill,layer14,660644864,auto,30016,20029,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382965105837,1782207382965105837,1782207383096134044,131028.207,4.696,3634.552,1470.178
prefill,layer15,660644864,auto,30013,20031,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382964608054,1782207382964608054,1782207383085302238,120694.184,5.098,3084.059,512.263
prefill,layer16,660644864,auto,30018,20033,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382965561070,1782207382965561070,1782207383098454518,132893.448,4.630,3585.772,1236.957
prefill,layer17,660644864,auto,30017,20035,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382965305988,1782207382965305988,1782207383205841802,240535.814,2.558,3198.409,1009.176
prefill,layer18,660644864,auto,30015,20037,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382965006636,1782207382965006636,1782207383202539782,237533.146,2.590,3519.221,596.443
prefill,layer19,660644864,auto,30019,20039,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382965667000,1782207382965667000,1782207383099656566,133989.566,4.592,3131.329,1090.597
prefill,layer20,660644864,auto,30022,20041,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382966239264,1782207382966239264,1782207383352697715,386458.451,1.592,3575.102,1330.598
prefill,layer21,660644864,auto,30021,20043,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382966048203,1782207382966048203,1782207383209908066,243859.863,2.523,3821.893,1139.676
prefill,layer22,660644864,auto,30020,20045,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382965779671,1782207382965779671,1782207383209432894,243653.223,2.525,3238.230,1407.608
prefill,layer23,660644864,auto,30023,20047,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382966515985,1782207382966515985,1782207383287985631,321469.646,1.914,3641.743,945.006
prefill,layer24,660644864,auto,30024,20049,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382967026749,1782207382967026749,1782207383364627138,397600.389,1.547,3921.324,688.335
prefill,layer25,660644864,auto,30026,20051,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382968085715,1782207382968085715,1782207383294166449,326080.734,1.887,4054.324,470.652
prefill,layer26,660644864,auto,30027,20053,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382968488067,1782207382968488067,1782207383216966869,248478.802,2.476,4159.506,807.475
prefill,layer27,660644864,auto,30028,20055,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382968586528,1782207382968586528,1782207383296389883,327803.355,1.877,4029.094,821.235
prefill,layer28,660644864,auto,30025,20057,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382967897324,1782207382967897324,1782207383365156781,397259.457,1.549,3083.159,798.105
prefill,layer29,660644864,auto,30030,20059,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382968978000,1782207382968978000,1782207383219794977,250816.977,2.453,3747.893,458.163
prefill,layer30,660644864,auto,30031,20061,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969069861,1782207382969069861,1782207383298997868,329928.007,1.865,3839.183,697.884
prefill,layer31,660644864,auto,30029,20063,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382968841100,1782207382968841100,1782207383218828421,249987.321,2.461,3424.750,1331.838
prefill,layer32,660644864,auto,30033,20065,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969290382,1782207382969290382,1782207383393555414,424265.032,1.450,3117.079,436.563
prefill,layer33,660644864,auto,30034,20067,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969459263,1782207382969459263,1782207383356214597,386755.334,1.591,3091.069,797.885
prefill,layer34,660644864,auto,30032,20069,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969181392,1782207382969181392,1782207383299416511,330235.119,1.863,2801.137,1389.818
prefill,layer35,660644864,auto,30035,20071,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969595114,1782207382969595114,1782207383391588482,421993.368,1.458,2976.508,1452.559
prefill,layer36,660644864,auto,30037,20073,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969829856,1782207382969829856,1782207383367394445,397564.589,1.548,3105.709,817.715
prefill,layer37,660644864,auto,30036,20075,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969706525,1782207382969706525,1782207383391994104,422287.579,1.457,2919.908,1629.330
prefill,layer38,660644864,auto,30038,20077,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382969966766,1782207382969966766,1782207383401495742,431528.976,1.426,2702.377,1201.087
prefill,layer39,660644864,auto,30039,20079,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207382970111747,1782207382970111747,1782207383367907578,397795.831,1.547,2719.577,779.794
decode,decode_input_rms_weight,819200,auto,30040,20081,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782207396520057714,1782207396520057714,1782207396522088047,2030.333,0.376,4405.087,0.000
