selection,status,error,bytes,gib,setup_us,hbm_alloc_us,memfd_mmap_us,acl_malloc_host_us,pinned_pool_alloc_us,pretouch_us,mlock_us,madvise_us,register_us,unregister_us,warmup_us,hot_avg_us,hot_min_us,hot_max_us,hot_submit_us,hot_wait_us,hot_cpu_copy_us,hot_avg_gib_s,hot_min_gib_s,hot_max_gib_s,warmups,repeats,v2_flags,mmap_kind,used_mlock,used_thp,used_hugetlb,used_pinned_staging,anon_huge_kb,shmem_pmd_mapped_kb,file_pmd_mapped_kb,kernel_page_kb,mmu_page_kb,verified
memfd_direct,ok,"",2147483648,2.000000,76530.519000,74455.076000,28.501000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,827079.894000,92850.185000,89553.028000,98169.211000,92697.324333,141.717333,0.000000,21.540076,20.372986,22.333137,1,3,0x0,memfd,false,false,false,false,0,0,0,4,4,true
memfd_pretouch,ok,"",2147483648,2.000000,753239.031000,995.616000,30.740000,0.000000,0.000000,743008.749000,0.000000,0.000000,0.000000,0.000000,42740.872000,80705.063667,77850.156000,85624.814000,80545.489667,145.947333,0.000000,24.781592,23.357715,25.690379,1,3,0x0,memfd,false,false,false,false,0,0,0,4,4,true
memfd_mlock,skipped,"RLIMIT_MEMLOCK soft limit 67108864 < bytes 2147483648",2147483648,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,3,0x0,memfd,true,false,false,false,0,0,0,0,0,false
memfd_thp,ok,"",2147483648,2.000000,67065.510000,870.915000,19.190000,0.000000,0.000000,60080.798000,0.000000,4.680000,0.000000,0.000000,35938.280000,36565.551000,35850.950000,37915.203000,36455.250000,90.424000,0.000000,54.696291,52.749289,55.786527,1,3,0x0,memfd,false,true,false,false,0,2097152,0,4,4,true
memfd_v2_pinned,ok,"",2147483648,2.000000,3056.028000,980.536000,23.610000,0.000000,0.000000,0.000000,0.000000,0.000000,19.750000,23.130000,857107.907000,101116.125667,66347.556000,167601.816000,1289.671000,99809.938000,0.000000,19.779239,11.933045,30.144290,1,3,0x10000000,memfd,false,false,false,false,0,0,0,4,4,true
memfd_v2_mapped,ok,"",2147483648,2.000000,1409764.550000,981.976000,16.530000,0.000000,0.000000,0.000000,0.000000,0.000000,1400864.986000,68417.539000,93674.004000,115181.205333,92185.025000,156840.700000,155.767667,115009.097333,0.000000,17.363944,12.751792,21.695498,1,3,0x2,memfd,false,false,false,false,0,0,0,4,4,true
memfd_v2_mapped_pinned,ok,"",2147483648,2.000000,1366101.903000,1158.727000,67.121000,0.000000,0.000000,0.000000,0.000000,0.000000,1355946.101000,50782.921000,67577.914000,97069.764333,62463.052000,166001.426000,196.124667,96856.409667,0.000000,20.603738,12.048089,32.018929,1,3,0x10000002,memfd,false,false,false,false,0,0,0,4,4,true
memfd_mlock_v2_pinned,skipped,"RLIMIT_MEMLOCK soft limit 67108864 < bytes 2147483648",2147483648,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,3,0x10000000,memfd,true,false,false,false,0,0,0,0,0,false
memfd_thp_v2_pinned,ok,"",2147483648,2.000000,65646.682000,867.085000,22.240000,0.000000,0.000000,58583.148000,0.000000,3.820000,20.100000,7.340000,54183.432000,55224.841333,49392.332000,64735.186000,155.387667,55058.417000,0.000000,36.215586,30.895099,40.492115,1,3,0x10000000,memfd,false,true,false,false,0,2097152,0,4,4,true
hugetlb_memfd_v2_pinned,skipped,"mmap hugetlb memfd failed errno=12",2147483648,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,3,0x10000000,hugetlb_memfd,false,false,true,false,0,0,0,0,0,false
acl_malloc_host_dma_hbm,ok,"",2147483648,2.000000,110870.208000,858.345000,0.000000,27293.517000,0.000000,82699.286000,0.000000,0.000000,0.000000,0.000000,35604.048000,35554.843667,35539.397000,35575.407000,177.754333,35366.522667,0.000000,56.251126,56.218612,56.275575,1,3,0x0,aclrtMallocHost,false,false,false,false,0,0,0,0,0,true
memfd_pinned_chunk_hbm,ok,"",2147483648,2.000000,3531.992000,954.036000,22.250000,0.000000,465.913000,0.000000,0.000000,0.000000,0.000000,0.000000,1223687.962000,258008.726000,248583.162000,267565.838000,6102.403000,17814.978000,232064.584667,7.751676,7.474796,8.045597,1,3,0x0,memfd,false,false,false,true,0,0,0,4,4,true
