selection,label,directions,transfers,total_gib,daemon_bandwidth_gib_s,client_effective_bandwidth_gib_s,daemon_wall_ms,client_wall_ms,cpu_copy_us,acl_submit_us,acl_wait_us,chunks,pipeline_overlap,h2d_lanes,d2h_lanes,pinned_total,lane_wait_count,run_dir
h2d_pinned,h2d_1GiB_1lanes,h2d,1,1.000,5.864,3.705,170.544,269.917,117683.085,9972.531,2305.387,64,True,1,0,33554432,1,phasee05_hotpath_20260618_132817
h2d_pinned,h2d_1GiB_2lanes,h2d,2,2.000,7.541,5.005,265.229,399.600,315661.839,19826.582,3585.747,128,True,2,0,67108864,3,phasee05_hotpath_20260618_132817
h2d_pinned,h2d_1GiB_4lanes,h2d,4,4.000,8.744,4.998,457.470,800.379,821087.350,46245.496,5620.089,256,True,4,0,134217728,7,phasee05_hotpath_20260618_132817
h2d_pinned,h2d_1GiB_6lanes,h2d,6,6.000,18.970,6.604,316.286,908.494,1147460.849,88011.871,17412.089,384,True,6,0,201326592,13,phasee05_hotpath_20260618_132817
h2d_pinned,h2d_1GiB_8lanes,h2d,8,8.000,21.520,7.267,371.751,1100.849,1844916.979,116177.804,22868.187,512,True,8,0,268435456,21,phasee05_hotpath_20260618_132817
d2h_pinned,d2h_1GiB_1lanes,d2h,1,1.000,3.069,2.349,325.786,425.680,238059.043,2377.726,2182.771,16,True,1,1,167772160,2,phasee05_hotpath_20260618_133452
d2h_pinned,d2h_1GiB_2lanes,d2h,2,2.000,4.717,3.205,424.021,623.933,541004.370,5368.703,3787.001,32,True,1,2,301989888,6,phasee05_hotpath_20260618_133452
d2h_pinned,d2h_1GiB_4lanes,d2h,4,4.000,6.886,4.904,580.924,815.626,1414201.995,11208.180,15567.593,64,True,1,4,570425344,14,phasee05_hotpath_20260618_133452
d2h_pinned,d2h_1GiB_6lanes,d2h,6,6.000,7.831,4.997,766.157,1200.822,2745294.833,19807.524,45894.645,96,True,1,6,838860800,26,phasee05_hotpath_20260618_133452
d2h_pinned,d2h_1GiB_8lanes,d2h,8,8.000,7.316,4.997,1093.430,1601.030,5813848.772,25704.893,88370.456,128,True,1,8,1107296256,42,phasee05_hotpath_20260618_133452
d2h_direct_ddr,d2h_1GiB_1lanes,d2h,1,1.000,4.312,3.017,231.912,331.454,0.000,137594.321,95.860,1,False,1,0,33554432,1,phasee05_hotpath_20260618_134205
d2h_direct_ddr,d2h_1GiB_2lanes,d2h,2,2.000,7.276,4.999,274.858,400.112,0.000,251796.280,194.400,2,False,1,0,33554432,3,phasee05_hotpath_20260618_134205
d2h_direct_ddr,d2h_1GiB_4lanes,d2h,4,4.000,9.723,5.000,411.416,799.945,0.000,756881.317,267.432,4,False,1,0,33554432,7,phasee05_hotpath_20260618_134205
d2h_direct_ddr,d2h_1GiB_6lanes,d2h,6,6.000,10.106,5.451,593.685,1100.772,0.000,1334614.686,417.294,6,False,1,0,33554432,13,phasee05_hotpath_20260618_134205
d2h_direct_ddr,d2h_1GiB_8lanes,d2h,8,8.000,10.929,5.330,731.990,1500.935,0.000,1659800.354,505.754,8,False,1,0,33554432,21,phasee05_hotpath_20260618_134205
d2h_direct_registered_v1,d2h_1GiB_1lanes,d2h,1,1.000,1.488,1.297,671.941,771.284,0.000,365.302,116960.525,1,False,1,0,33554432,1,phasee05_hotpath_20260618_134526
d2h_direct_registered_v1,d2h_1GiB_2lanes,d2h,2,2.000,1.717,1.538,1165.002,1300.655,0.000,784.346,482472.409,2,False,1,0,33554432,3,phasee05_hotpath_20260618_134526
d2h_direct_registered_v1,d2h_1GiB_4lanes,d2h,4,4.000,1.666,1.538,2401.155,2600.859,0.000,1549.430,3271501.467,4,False,1,0,33554432,7,phasee05_hotpath_20260618_134526
d2h_direct_registered_v1,d2h_1GiB_6lanes,d2h,6,6.000,1.732,1.499,3465.062,4002.344,0.000,2091.392,6289018.674,6,False,1,0,33554432,13,phasee05_hotpath_20260618_134526
d2h_direct_registered_v1,d2h_1GiB_8lanes,d2h,8,8.000,1.976,1.775,4048.109,4507.377,0.000,2931.908,6908815.162,8,False,1,0,33554432,21,phasee05_hotpath_20260618_134526
h2d_pinned_budget_cap,h2d_256MiB_2lanes,h2d,2,0.500,4.432,1.669,112.818,299.580,62639.181,2795.517,1805.692,16,True,1,0,67108864,2,phasee05_hotpath_20260618_134814
bidir_h2d_pinned_d2h_direct,bidir_512MiB_2lanes,"d2h,h2d",4,2.000,8.346,3.335,239.645,599.718,217136.705,224403.461,2002.544,66,False,2,0,67108864,4,phasee05_hotpath_20260618_135121
bidir_h2d_pinned_d2h_direct,bidir_512MiB_4lanes,"d2h,h2d",8,4.000,9.872,3.573,405.206,1119.521,988934.594,529765.210,3952.075,132,False,4,0,134217728,12,phasee05_hotpath_20260618_135121
bidir_h2d_d2h_pinned,bidir_256MiB_2lanes,"d2h,h2d",4,1.000,8.123,1.999,123.103,500.242,223989.238,7081.904,7100.385,40,True,2,2,335544320,6,phasee05_hotpath_20260618_135214
