label,direction,size,bytes,iteration,status,actual_engine,actual_path,event_latency_us,event_bandwidth_gib_s,channel_wall_us,channel_bandwidth_gib_s,client_wall_us,queue_wait_us,worker_execute_us,lane_wait_us,acl_submit_us,acl_wait_us,stream_create_count,event_reuse_count,event_record_count,event_wait_count,lane_id,device_id
h2d_64MiB,h2d,64MiB,67108864,0,complete,acl_direct_async_thp,ddr_hbm_direct_thp,2612.847,23.920,1453.939,42.987,3497.692,41.950,2451.356,985.797,1340.428,113.391,1,0,1,1,1,7
h2d_64MiB,h2d,64MiB,67108864,1,complete,acl_direct_async_thp,ddr_hbm_direct_thp,1336.349,46.769,1306.249,47.847,1890.502,6.270,1311.749,1.280,1263.418,42.661,0,1,1,1,1,7
h2d_64MiB,h2d,64MiB,67108864,2,complete,acl_direct_async_thp,ddr_hbm_direct_thp,1329.129,47.023,1297.679,48.163,2189.154,6.850,1302.499,0.700,1255.558,41.981,0,2,1,1,1,7
d2h_64MiB,d2h,64MiB,67108864,0,complete,acl_direct_async_thp,hbm_ddr_direct_thp,2758.437,22.658,1815.751,34.421,3875.385,8.050,2726.987,903.056,1749.401,66.180,1,0,1,1,2,7
d2h_64MiB,d2h,64MiB,67108864,1,complete,acl_direct_async_thp,hbm_ddr_direct_thp,1752.571,35.662,1724.631,36.240,2214.964,5.350,1730.191,0.870,1682.821,41.650,0,1,1,1,2,7
d2h_64MiB,d2h,64MiB,67108864,2,complete,acl_direct_async_thp,hbm_ddr_direct_thp,1763.911,35.433,1736.541,35.991,2203.734,5.020,1740.771,0.560,1695.601,40.790,0,2,1,1,2,7
h2d_256MiB,h2d,256MiB,268435456,0,complete,acl_direct_async_thp,ddr_hbm_direct_thp,4752.570,52.603,4685.560,53.355,5845.878,15.140,4699.130,3.120,4636.939,48.301,0,4,1,1,1,7
h2d_256MiB,h2d,256MiB,268435456,1,complete,acl_direct_async_thp,ddr_hbm_direct_thp,4634.110,53.948,4601.290,54.333,5251.743,6.120,4607.740,1.360,4559.739,41.301,0,5,1,1,1,7
h2d_256MiB,h2d,256MiB,268435456,2,complete,acl_direct_async_thp,ddr_hbm_direct_thp,4641.820,53.858,4609.739,54.233,5371.755,5.420,4615.119,0.630,4567.139,42.340,0,6,1,1,1,7
d2h_256MiB,d2h,256MiB,268435456,0,complete,acl_direct_async_thp,hbm_ddr_direct_thp,6656.742,37.556,6608.052,37.833,7819.830,8.780,6620.662,2.950,6541.402,66.510,0,3,1,1,2,7
d2h_256MiB,d2h,256MiB,268435456,1,complete,acl_direct_async_thp,hbm_ddr_direct_thp,6351.781,39.359,6313.920,39.595,7121.286,6.600,6319.570,0.500,6287.740,26.050,0,4,1,1,2,7
d2h_256MiB,d2h,256MiB,268435456,2,complete,acl_direct_async_thp,hbm_ddr_direct_thp,6331.770,39.483,6302.460,39.667,7424.447,6.120,6306.780,0.560,6276.170,26.160,0,5,1,1,2,7
h2d_1GiB,h2d,1GiB,1073741824,0,complete,acl_direct_async_thp,ddr_hbm_direct_thp,17921.604,55.799,17838.384,56.059,19105.352,14.430,17857.994,3.110,17762.204,75.140,0,8,1,1,1,7
h2d_1GiB,h2d,1GiB,1073741824,1,complete,acl_direct_async_thp,ddr_hbm_direct_thp,17751.303,56.334,17695.303,56.512,18915.611,16.000,17710.363,3.670,17647.963,46.930,0,9,1,1,1,7
h2d_1GiB,h2d,1GiB,1073741824,2,complete,acl_direct_async_thp,ddr_hbm_direct_thp,17713.873,56.453,17666.593,56.604,17997.045,13.530,17678.073,2.230,17623.173,42.940,0,10,1,1,1,7
d2h_1GiB,d2h,1GiB,1073741824,0,complete,acl_direct_async_thp,hbm_ddr_direct_thp,24920.079,40.128,24862.628,40.221,26032.906,15.320,24876.058,2.090,24776.128,86.110,0,6,1,1,2,7
d2h_1GiB,d2h,1GiB,1073741824,1,complete,acl_direct_async_thp,hbm_ddr_direct_thp,24706.538,40.475,24653.247,40.563,25022.600,13.380,24665.807,1.830,24615.607,37.320,0,7,1,1,2,7
d2h_1GiB,d2h,1GiB,1073741824,2,complete,acl_direct_async_thp,hbm_ddr_direct_thp,24694.128,40.495,24645.987,40.575,25349.962,11.531,24656.967,1.790,24603.347,42.370,0,8,1,1,2,7
h2d_2GiB,h2d,2GiB,2147483648,0,complete,acl_direct_async_thp,ddr_hbm_direct_thp,37459.890,53.390,37403.128,53.471,38612.456,16.310,37413.069,1.940,37315.878,86.950,0,12,1,1,1,7
h2d_2GiB,h2d,2GiB,2147483648,1,complete,acl_direct_async_thp,ddr_hbm_direct_thp,35135.924,56.922,35080.624,57.012,35606.127,13.590,35092.164,1.740,35036.574,43.420,0,13,1,1,1,7
h2d_2GiB,h2d,2GiB,2147483648,2,complete,acl_direct_async_thp,ddr_hbm_direct_thp,35126.694,56.937,35074.733,57.021,35941.080,12.131,35086.493,1.690,35025.753,48.280,0,14,1,1,1,7
d2h_2GiB,d2h,2GiB,2147483648,0,complete,acl_direct_async_thp,hbm_ddr_direct_thp,49343.565,40.532,49288.215,40.578,50683.854,16.290,49301.255,2.060,49203.604,84.231,0,9,1,1,2,7
d2h_2GiB,d2h,2GiB,2147483648,1,complete,acl_direct_async_thp,hbm_ddr_direct_thp,49156.163,40.687,49100.613,40.733,50323.981,14.820,49113.713,1.670,49053.443,46.890,0,10,1,1,2,7
d2h_2GiB,d2h,2GiB,2147483648,2,complete,acl_direct_async_thp,hbm_ddr_direct_thp,49131.854,40.707,49086.564,40.744,49541.817,12.020,49097.954,1.650,49045.913,39.991,0,11,1,1,2,7
