mode,label,directions,bytes_per_transfer,transfers,actual_engines,actual_paths,daemon_bandwidth_gib_s,channel_bandwidth_gib_s,client_effective_bandwidth_gib_s,daemon_wall_ms,channel_wall_ms,line
auto,h2d_64MiB_1lanes,h2d,67108864,1,acl_direct_async_thp,ddr_hbm_direct_thp,17.638,42.430,0.314,3.544,1.473,UFLOW_E05_HOTPATH_RESULT label=h2d_64MiB_1lanes directions=h2d transfers=1 bytes_per_transfer=67108864 total_bytes=67108864 mode=auto actual_engines=acl_direct_async_thp actual_paths=ddr_hbm_direct_thp daemon_bandwidth_gib_s=17.638 channel_bandwidth_gib_s=42.430 client_effective_bandwidth_gib_s=0.314 daemon_wall_ms=3.544 channel_wall_ms=1.473 client_wall_ms=199.194 cpu_copy_us=0.000 acl_submit_us=1374.118 acl_wait_us=98.691 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,d2h_64MiB_1lanes,d2h,67108864,1,acl_direct_async_thp,hbm_ddr_direct_thp,18.393,33.897,0.312,3.398,1.844,UFLOW_E05_HOTPATH_RESULT label=d2h_64MiB_1lanes directions=d2h transfers=1 bytes_per_transfer=67108864 total_bytes=67108864 mode=auto actual_engines=acl_direct_async_thp actual_paths=hbm_ddr_direct_thp daemon_bandwidth_gib_s=18.393 channel_bandwidth_gib_s=33.897 client_effective_bandwidth_gib_s=0.312 daemon_wall_ms=3.398 channel_wall_ms=1.844 client_wall_ms=200.006 cpu_copy_us=0.000 acl_submit_us=1763.560 acl_wait_us=80.001 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,h2d_256MiB_1lanes,h2d,268435456,1,acl_direct_async_thp,ddr_hbm_direct_thp,37.400,52.690,1.250,6.684,4.745,UFLOW_E05_HOTPATH_RESULT label=h2d_256MiB_1lanes directions=h2d transfers=1 bytes_per_transfer=268435456 total_bytes=268435456 mode=auto actual_engines=acl_direct_async_thp actual_paths=ddr_hbm_direct_thp daemon_bandwidth_gib_s=37.400 channel_bandwidth_gib_s=52.690 client_effective_bandwidth_gib_s=1.250 daemon_wall_ms=6.684 channel_wall_ms=4.745 client_wall_ms=199.937 cpu_copy_us=0.000 acl_submit_us=4658.388 acl_wait_us=86.131 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,d2h_256MiB_1lanes,d2h,268435456,1,acl_direct_async_thp,hbm_ddr_direct_thp,29.872,38.170,1.250,8.369,6.550,UFLOW_E05_HOTPATH_RESULT label=d2h_256MiB_1lanes directions=d2h transfers=1 bytes_per_transfer=268435456 total_bytes=268435456 mode=auto actual_engines=acl_direct_async_thp actual_paths=hbm_ddr_direct_thp daemon_bandwidth_gib_s=29.872 channel_bandwidth_gib_s=38.170 client_effective_bandwidth_gib_s=1.250 daemon_wall_ms=8.369 channel_wall_ms=6.550 client_wall_ms=199.937 cpu_copy_us=0.000 acl_submit_us=6462.208 acl_wait_us=87.221 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,h2d_1GiB_1lanes,h2d,1073741824,1,acl_direct_async_thp,ddr_hbm_direct_thp,49.598,55.025,5.000,20.162,18.174,UFLOW_E05_HOTPATH_RESULT label=h2d_1GiB_1lanes directions=h2d transfers=1 bytes_per_transfer=1073741824 total_bytes=1073741824 mode=auto actual_engines=acl_direct_async_thp actual_paths=ddr_hbm_direct_thp daemon_bandwidth_gib_s=49.598 channel_bandwidth_gib_s=55.025 client_effective_bandwidth_gib_s=5.000 daemon_wall_ms=20.162 channel_wall_ms=18.174 client_wall_ms=199.995 cpu_copy_us=0.000 acl_submit_us=18069.777 acl_wait_us=103.611 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,d2h_1GiB_1lanes,d2h,1073741824,1,acl_direct_async_thp,hbm_ddr_direct_thp,37.035,39.974,5.015,27.001,25.016,UFLOW_E05_HOTPATH_RESULT label=d2h_1GiB_1lanes directions=d2h transfers=1 bytes_per_transfer=1073741824 total_bytes=1073741824 mode=auto actual_engines=acl_direct_async_thp actual_paths=hbm_ddr_direct_thp daemon_bandwidth_gib_s=37.035 channel_bandwidth_gib_s=39.974 client_effective_bandwidth_gib_s=5.015 daemon_wall_ms=27.001 channel_wall_ms=25.016 client_wall_ms=199.395 cpu_copy_us=0.000 acl_submit_us=24914.468 acl_wait_us=101.471 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,h2d_2GiB_1lanes,h2d,2147483648,1,acl_direct_async_thp,ddr_hbm_direct_thp,52.333,55.420,10.000,38.217,36.088,UFLOW_E05_HOTPATH_RESULT label=h2d_2GiB_1lanes directions=h2d transfers=1 bytes_per_transfer=2147483648 total_bytes=2147483648 mode=auto actual_engines=acl_direct_async_thp actual_paths=ddr_hbm_direct_thp daemon_bandwidth_gib_s=52.333 channel_bandwidth_gib_s=55.420 client_effective_bandwidth_gib_s=10.000 daemon_wall_ms=38.217 channel_wall_ms=36.088 client_wall_ms=200.007 cpu_copy_us=0.000 acl_submit_us=35976.733 acl_wait_us=111.101 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
auto,d2h_2GiB_1lanes,d2h,2147483648,1,acl_direct_async_thp,hbm_ddr_direct_thp,38.941,40.318,10.002,51.360,49.605,UFLOW_E05_HOTPATH_RESULT label=d2h_2GiB_1lanes directions=d2h transfers=1 bytes_per_transfer=2147483648 total_bytes=2147483648 mode=auto actual_engines=acl_direct_async_thp actual_paths=hbm_ddr_direct_thp daemon_bandwidth_gib_s=38.941 channel_bandwidth_gib_s=40.318 client_effective_bandwidth_gib_s=10.002 daemon_wall_ms=51.360 channel_wall_ms=49.605 client_wall_ms=199.957 cpu_copy_us=0.000 acl_submit_us=49493.854 acl_wait_us=111.400 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=0 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=0 pinned_idle=0 lane_wait_count=0 reaped_lanes=0
pinned_async,h2d_64MiB_1lanes,h2d,67108864,1,acl_pinned_async_channel,memfd_pinned_hbm_channel,9.184,12.884,0.313,6.806,4.851,UFLOW_E05_HOTPATH_RESULT label=h2d_64MiB_1lanes directions=h2d transfers=1 bytes_per_transfer=67108864 total_bytes=67108864 mode=pinned_async actual_engines=acl_pinned_async_channel actual_paths=memfd_pinned_hbm_channel daemon_bandwidth_gib_s=9.184 channel_bandwidth_gib_s=12.884 client_effective_bandwidth_gib_s=0.313 daemon_wall_ms=6.806 channel_wall_ms=4.851 client_wall_ms=199.427 cpu_copy_us=3723.892 acl_submit_us=685.324 acl_wait_us=438.873 event_record_count=4 event_wait_count=4 chunks=4 pipeline_overlap=True h2d_lanes=1 d2h_lanes=0 h2d_busy=0 d2h_busy=0 pinned_total=33554432 pinned_idle=33554432 lane_wait_count=1 reaped_lanes=0
pinned_async,d2h_64MiB_1lanes,d2h,67108864,1,acl_pinned_async_channel,memfd_pinned_hbm_channel,7.673,12.389,0.312,8.145,5.045,UFLOW_E05_HOTPATH_RESULT label=d2h_64MiB_1lanes directions=d2h transfers=1 bytes_per_transfer=67108864 total_bytes=67108864 mode=pinned_async actual_engines=acl_pinned_async_channel actual_paths=memfd_pinned_hbm_channel daemon_bandwidth_gib_s=7.673 channel_bandwidth_gib_s=12.389 client_effective_bandwidth_gib_s=0.312 daemon_wall_ms=8.145 channel_wall_ms=5.045 client_wall_ms=200.009 cpu_copy_us=3295.770 acl_submit_us=127.511 acl_wait_us=1619.189 event_record_count=1 event_wait_count=1 chunks=1 pipeline_overlap=False h2d_lanes=1 d2h_lanes=1 h2d_busy=0 d2h_busy=0 pinned_total=167772160 pinned_idle=167772160 lane_wait_count=3 reaped_lanes=0
